Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude
4/25/2021 12:30,4/25/2021 13:00,1680.0,0.0,25.0,25.0,19.25,0.0,0.0,0.0,19.25,Unknown,Taxi Affiliation Services,41.89060885,-87.75604671,41.89060885,-87.75604671
2/4/2021 18:15,2/4/2021 18:30,726.0,2.02,3.0,6.0,8.75,0.0,0.0,0.0,8.75,Prcard,Flash Cab,41.96581197,-87.65587879,41.9442266,-87.65599818
1/27/2021 17:45,1/27/2021 18:15,1011.0,4.46,32.0,24.0,15.0,3.0,0.0,0.0,18.0,Mobile,Patriot Taxi Dba Peace Taxi Associat,41.87886558,-87.62519214,41.90120699,-87.67635599
4/26/2021 9:45,4/26/2021 10:00,1260.0,0.4,6.0,35.0,22.25,0.0,0.0,0.0,22.25,Unknown,Taxi Affiliation Services,41.9442266,-87.65599818,41.83511799,-87.61867777
3/17/2021 19:15,3/17/2021 19:30,660.0,1.9,8.0,28.0,9.25,4.0,0.0,0.0,13.25,Credit Card,Star North Management LLC,41.89915561,-87.62621053,41.88530002,-87.64280847
4/21/2021 12:30,4/21/2021 12:45,1020.0,4.0,72.0,44.0,14.5,0.0,0.0,0.0,14.5,Unknown,Taxi Affiliation Services,41.71314861,-87.67507531,41.74020576,-87.61596952
3/29/2021 18:30,3/29/2021 19:00,1740.0,6.8,38.0,43.0,21.75,0.0,0.0,0.0,21.75,Unknown,Star North Management LLC,41.81294894,-87.61785968,41.76157791,-87.57278199
3/12/2021 0:15,3/12/2021 0:30,540.0,2.5,8.0,33.0,9.75,0.0,0.0,0.0,9.75,Cash,Top Cab Affiliation,41.89960211,-87.63330804,41.85718386,-87.62033462
3/30/2021 13:00,3/30/2021 13:15,609.0,1.56,8.0,32.0,8.0,0.0,0.0,0.0,8.0,Cash,Flash Cab,41.89250778,-87.62621491,41.88099447,-87.63274649
5/30/2021 13:45,5/30/2021 14:15,1860.0,15.5,76.0,7.0,39.5,9.0,0.0,5.0,53.5,Credit Card,Star North Management LLC,41.98026432,-87.9136246,41.92268628,-87.64948873
4/3/2021 16:45,4/3/2021 17:30,2169.0,17.6,76.0,32.0,43.75,0.0,0.0,5.0,48.75,Cash,City Service,41.97907082,-87.90303966,41.88498719,-87.62099291
3/11/2021 13:30,3/11/2021 13:45,933.0,0.46,21.0,21.0,8.75,0.0,0.0,0.0,8.75,Cash,Flash Cab,41.9386662,-87.71121059,41.9386662,-87.71121059
5/27/2021 18:30,5/27/2021 18:45,960.0,6.3,76.0,10.0,17.75,0.0,0.0,4.0,21.75,Cash,Top Cab Affiliation,41.98026432,-87.9136246,41.9850151,-87.80453201
2/9/2021 19:15,2/9/2021 19:45,2280.0,8.2,28.0,39.0,28.75,0.0,0.0,0.0,28.75,Unknown,Taxi Affiliation Services,41.87400538,-87.66351755,41.80891628,-87.59618334
4/24/2021 10:30,4/24/2021 10:30,480.0,0.1,67.0,66.0,10.5,0.0,0.0,0.0,10.5,Credit Card,Taxi Affiliation Services,41.77592883,-87.66659627,41.77184852,-87.69566634
3/7/2021 18:00,3/7/2021 18:30,1740.0,18.1,56.0,6.0,45.0,0.0,0.0,4.0,49.0,Credit Card,"Taxicab Insurance Agency, LLC",41.79259236,-87.76961545,41.9442266,-87.65599818
5/10/2021 10:00,5/10/2021 10:30,2254.0,12.59,54.0,44.0,36.5,0.0,0.0,0.0,36.5,Prcard,Flash Cab,41.66013605,-87.60284764,41.74020576,-87.61596952
5/26/2021 11:00,5/26/2021 11:00,180.0,0.7,32.0,32.0,5.0,2.0,0.0,1.0,8.0,Credit Card,Blue Ribbon Taxi Association Inc.,41.88498719,-87.62099291,41.88099447,-87.63274649
4/16/2021 6:15,4/16/2021 6:15,243.0,0.79,28.0,32.0,5.5,0.0,0.0,0.0,5.5,Cash,City Service,41.87400538,-87.66351755,41.87886558,-87.62519214
2/25/2021 12:15,2/25/2021 12:30,540.0,0.0,8.0,8.0,7.5,0.0,0.0,1.0,8.5,Cash,Taxi Affiliation Services,41.89503345,-87.61971067,41.90585777,-87.63086503
1/18/2021 12:30,1/18/2021 13:00,1200.0,0.7,44.0,32.0,30.0,0.0,0.0,0.0,30.0,Unknown,Taxi Affiliation Services,41.74020576,-87.61596952,41.87886558,-87.62519214
3/18/2021 16:15,3/18/2021 16:15,692.0,1.54,8.0,24.0,8.25,2.0,0.0,0.0,10.75,Credit Card,Sun Taxi,41.89960211,-87.63330804,41.90120699,-87.67635599
2/11/2021 14:30,2/11/2021 14:30,0.0,0.0,36.0,36.0,3.25,0.0,0.0,0.0,3.25,Cash,Taxi Affiliation Services,41.82371281,-87.60235044,41.82371281,-87.60235044
1/28/2021 13:45,1/28/2021 13:45,0.0,0.0,32.0,32.0,4.0,3.0,0.0,0.0,7.0,Credit Card,Star North Management LLC,41.88099447,-87.63274649,41.88099447,-87.63274649
5/30/2021 18:15,5/30/2021 18:15,0.0,0.0,28.0,28.0,3.5,0.0,0.0,0.0,3.5,Cash,Taxi Affiliation Services,41.87400538,-87.66351755,41.87400538,-87.66351755
5/13/2021 18:00,5/13/2021 18:30,1453.0,4.1,11.0,11.0,15.75,0.0,0.0,1.0,16.75,Cash,Flash Cab,41.97882953,-87.7711667,41.97882953,-87.7711667
1/28/2021 10:45,1/28/2021 11:00,660.0,0.2,38.0,41.0,11.25,0.0,0.0,0.0,11.25,Cash,Taxi Affiliation Services,41.81294894,-87.61785968,41.79409025,-87.59231086
