Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude
4/28/2021 12:00,4/28/2021 12:15,636.0,1.0,8.0,8.0,6.75,0.0,0.0,0.0,6.75,Cash,Chicago Independents,41.89960211,-87.63330804,41.89960211,-87.63330804
1/3/2021 15:30,1/3/2021 16:00,1631.0,10.12,1.0,8.0,28.0,0.0,0.0,0.0,28.0,Prcard,Flash Cab,42.00962288,-87.67016686,41.89960211,-87.63330804
1/16/2021 12:45,1/16/2021 13:15,1605.0,11.02,32.0,44.0,30.75,0.0,0.0,0.0,30.75,Prcard,Flash Cab,41.87886558,-87.62519214,41.74020576,-87.61596952
4/4/2021 8:15,4/4/2021 8:30,261.0,1.24,35.0,35.0,6.25,0.0,0.0,0.0,6.25,Cash,Flash Cab,41.83511799,-87.61867777,41.83511799,-87.61867777
1/2/2021 14:45,1/2/2021 15:00,963.0,4.16,44.0,69.0,14.5,0.0,0.0,0.0,14.5,Prcard,Flash Cab,41.74020576,-87.61596952,41.7632468,-87.61613411
4/21/2021 18:45,4/21/2021 19:00,1294.0,12.8,76.0,22.0,32.5,7.6,0.0,5.0,45.6,Credit Card,Sun Taxi,41.98026432,-87.9136246,41.92276062,-87.69915534
4/5/2021 10:15,4/5/2021 10:45,1985.0,7.64,35.0,43.0,23.75,0.0,0.0,0.0,23.75,Cash,Flash Cab,41.83511799,-87.61867777,41.76157791,-87.57278199
6/2/2021 22:00,6/2/2021 22:30,1800.0,1.0,76.0,28.0,42.25,9.3,0.0,4.0,55.55,Credit Card,Taxi Affiliation Services,41.98026432,-87.9136246,41.87400538,-87.66351755
5/3/2021 15:00,5/3/2021 15:15,780.0,5.9,41.0,32.0,17.25,0.0,0.0,0.0,17.25,Unknown,Taxi Affiliation Services,41.79409025,-87.59231086,41.87886558,-87.62519214
5/17/2021 9:15,5/17/2021 9:30,1036.0,5.67,6.0,77.0,17.5,0.0,0.0,0.0,17.5,Prcard,Flash Cab,41.9442266,-87.65599818,41.9867118,-87.66341641
